season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975
2021,00-0035544,T.Kennedy,1,1,5.069598037283868,5.069598037283868,1.0,0,0,0,0,20799,0.04047878194474436,5.029119255339123,5.029119255339123,0.02447838485019219,0.02447838485019219,5.0940764221340595,5.053597640189315,509.70506035259024,,,,,
2021,00-0035889,T.Townsend,1,1,4.0306980279274285,4.0306980279274285,1.0,0,0,0,0,20799,0.04047878194474436,3.990219245982684,3.990219245982684,0.0019333358863732248,0.0019333358863732248,4.032631363813802,3.9921525818690573,423.65163017413056,,,,,
2021,00-0029747,C.Banjo,1,1,3.7315283046336845,3.7315283046336845,1.0,0,0,0,0,20799,0.04047878194474436,3.69104952268894,3.69104952268894,0.08817999055426275,0.08817999055426275,3.8197082951879473,3.779229513243203,406.38953989846976,,,,,
2021,00-0031363,M.Palardy,1,1,3.4569964662659913,3.4569964662659913,1.0,0,1,1,1,20799,0.04047878194474436,3.416517684321247,3.416517684321247,0.04314892565246199,0.04314892565246199,3.5001453919184535,3.4596666099737092,380.4819493278892,,,,,
2021,00-0033009,T.Boyd,1,1,3.1924436271365266,3.1924436271365266,1.0,0,0,0,0,20799,0.04047878194474436,3.1519648451917823,3.1519648451917823,-0.0663929052166377,-0.0663929052166377,3.126050721919889,3.0855719399751447,350.1533616044703,,,,,
2021,00-0032496,M.Farley,1,1,3.0622718997765332,3.0622718997765332,1.0,0,0,0,0,20799,0.04047878194474436,3.021793117831789,3.021793117831789,-0.009315276169252738,-0.009315276169252738,3.0529566236072805,3.012477841662536,344.22747986777875,,,,,
2021,00-0034775,C.Kirk,1,1,3.0305774064618163,3.0305774064618163,1.0,0,0,0,0,20799,0.04047878194474436,2.990098624517072,2.990098624517072,0.02109739082964332,0.02109739082964332,3.0516747972914597,3.0111960153467154,344.1235596973425,,,,,
2021,00-0033307,K.Bourne,1,1,2.3478310459759086,2.3478310459759086,1.0,0,0,0,0,20799,0.04047878194474436,2.3073522640311643,2.3073522640311643,-0.05792668996061367,-0.05792668996061367,2.289904356015295,2.2494255740705507,282.36533776533713,,,,,
2021,00-0034418,C.Wilson,3,3,5.7490395497879945,1.916346516595998,1.0,0,0,0,0,20799,0.04047878194474436,1.8758677346512538,5.627603203953761,0.06516184172631641,0.021720613908772137,1.9380671305047703,5.692765045680077,253.84120466742044,,,,,
2021,00-0026625,B.Hoyer,11,3,20.87713444084511,1.897921312804101,0.8181818181818182,0,0,0,0,20799,0.04047878194474436,1.8574425308593567,20.431867839452924,-0.23048613707157742,-0.02095328518832522,1.8769680276157759,20.201381702381347,248.88778070712138,,,,,
2021,00-0035156,J.Fox,3,3,5.1923593147075735,1.7307864382358578,0.6666666666666666,0,0,0,0,20799,0.04047878194474436,1.6903076562911135,5.07092296887334,-0.019585312607450018,-0.006528437535816673,1.724258000700041,5.05133765626589,236.5072796762532,,,,,
2021,00-0032764,D.Henry,1,1,1.0320902957464568,1.0320902957464568,1.0,0,0,0,0,20799,0.04047878194474436,0.9916115138017125,0.9916115138017125,0.010503370714005464,0.010503370714005464,1.0425936664604623,1.002114884515718,181.24341676425206,,,,,
2021,00-0034860,D.Pettis,1,1,0.9808847262756899,0.9808847262756899,1.0,0,0,0,0,20799,0.04047878194474436,0.9404059443309456,0.9404059443309456,0.020320634011218426,0.020320634011218426,1.0012053602869084,0.960726578342164,177.8879857058166,,,,,
2021,00-0034348,C.Sutton,1,1,1.001634000451304,1.001634000451304,1.0,0,0,0,0,20799,0.04047878194474436,0.9611552185065597,0.9611552185065597,-0.003324125756291291,-0.003324125756291291,0.9983098746950128,0.9578310927502685,177.65324301681747,,,,,
2021,00-0035719,D.Samuel,2,2,2.0177336357883178,1.0088668178941589,0.5,0,0,0,0,20799,0.04047878194474436,0.9683880359494146,1.9367760718988292,-0.03527239769948756,-0.01763619884974378,0.9912306190444151,1.9015036741993416,177.07931389343145,,,,,
2021,00-0033936,C.Beathard,2,1,1.829054368659854,0.914527184329927,0.5,0,0,0,0,20799,0.04047878194474436,0.8740484023851827,1.7480968047703653,0.1048032759498025,0.05240163797490125,0.9669288223048282,1.8529000807201679,175.10911962614588,,,,,
2021,00-0034960,J.Meyers,2,1,1.7869173039798625,0.8934586519899312,1.0,0,0,0,0,20799,0.04047878194474436,0.8529798700451869,1.7059597400903739,0.046522454607478524,0.023261227303739262,0.9167198792936705,1.7524821946978524,171.03858226024363,,,,,
2021,00-0026300,J.Johnson,92,3,29.438313058384885,0.3199816636780966,0.532608695652174,3,4,1,0,20799,0.04047878194474436,0.27950288173335225,25.714265119468404,0.006745708324468899,0.00007332291657031413,0.3200549865946669,25.721010827792874,122.66579058220267,,,,,
